"store_name","supplier","logistics_company","order_date","product_batch","main_product_category","wholesale_discount","warehouse_address","warehouse_phone","delivery_conditions"
"Магазин \"Сонях\"","ТОВ \"АгроПоставка\"","НоваПошта Логістика","2024-09-14","цукор:20; масло:10","Продукти харчування","7","м. Київ, вул. Складська, 1","380441110101","Палети 120×80; терміново"
"Магазин \"Сонях\"","ТОВ \"ЕлектроТрейд\"","DeliveryExpress","2024-09-14","чайник:5; тостер:3","Побутова техніка","7","м. Київ, вул. Промислова, 20","380442220202","Розвантаження до 17:00"
"Магазин \"Сонях\"","ТОВ \"МолПродукт\"","МістЕкспрес","2024-09-15","молоко:100; сир:40","Молочні вироби","7","м. Київ, вул. Логістична, 7","380443330303","Холодовий ланцюг"
"Магазин \"Сонях\"","ТОВ \"ПобутХім\"","НоваПошта Логістика","2024-09-16","порошок:30; мило:50","Побутова хімія","7","м. Київ, вул. Складська, 1","380441110101","Без підйомника"
"Магазин \"Економ\"","ТОВ \"АгроПоставка\"","DeliveryExpress","2024-09-16","крупа:60; олія:25","Продукти харчування","5","м. Київ, вул. Промислова, 20","380442220202","Палети 100×120"
"Магазин \"Економ\"","ТОВ \"ЕлектроТрейд\"","МістЕкспрес","2024-09-17","міксер:4; фен:6","Побутова техніка","5","м. Київ, вул. Логістична, 7","380443330303","Упаковка від постач."
"Магазин \"Економ\"","ТОВ \"МолПродукт\"","НоваПошта Логістика","2024-09-18","йогурт:80; кефір:60","Молочні вироби","5","м. Київ, вул. Складська, 1","380441110101","Термобокси"
"Магазин \"Економ\"","ТОВ \"ПобутХім\"","DeliveryExpress","2024-09-18","гель:40; губки:100","Побутова хімія","5","м. Київ, вул. Промислова, 20","380442220202","Кур'єр до рампи"
"Магазин \"Смак\"","ТОВ \"АгроПоставка\"","МістЕкспрес","2024-09-19","борошно:90; цукор:30","Продукти харчування","3","м. Київ, вул. Логістична, 7","380443330303","Оплата при отрим."
"Магазин \"Смак\"","ТОВ \"ЕлектроТрейд\"","НоваПошта Логістика","2024-09-19","праска:7; чайник:6","Побутова техніка","3","м. Київ, вул. Складська, 1","380441110101","Безготівковий розр."
"Магазин \"Смак\"","ТОВ \"МолПродукт\"","DeliveryExpress","2024-09-20","масло:50; сметана:40","Молочні вироби","3","м. Київ, вул. Промислова, 20","380442220202","Вантажний ліфт"
"Магазин \"Смак\"","ТОВ \"ПобутХім\"","МістЕкспрес","2024-09-20","шампунь:60; рушники:80","Побутова хімія","3","м. Київ, вул. Логістична, 7","380443330303","Пломбування палет"
